Districts,Price m?,Year,,,,
Aveiro,1.829 ﾛ/m?,2024,,,,
Beja,1.209 ﾛ/m?,2024,,,,
Braga,1.689 ﾛ/m?,2024,,,,
Bragan溝,917 ﾛ/m?,2024,,,,
Castelo Branco,908 ﾛ/m?,2024,,,,
Coimbra,1.524 ﾛ/m?,2024,,,,
プora,1.446 ﾛ/m?,2024,,,,
Faial (Ilha),1.350 ﾛ/m?,2024,,,,
Faro,3.558 ﾛ/m?,2024,,,,
Guarda,732 ﾛ/m?,2024,,,,
Leiria,1.737 ﾛ/m?,2024,,,,
Lisboa,4.279 ﾛ/m?,2024,,,,
Madeira (Ilha),3.251 ﾛ/m?,2024,,,,
Pico (Ilha),1.476 ﾛ/m?,2024,,,,
Portalegre,811 ﾛ/m?,2024,,,,
Porto,2.916 ﾛ/m?,2024,,,,
Porto Santo (Ilha),2.615 ﾛ/m?,2024,,,,
Santa Maria (Ilha),1.399 ﾛ/m?,2024,,,,
Santar士,1.279 ﾛ/m?,2024,,,,
S黍 Jorge (Ilha),1.226 ﾛ/m?,2024,,,,
S黍 Miguel (ilha),1.925 ﾛ/m?,2024,,,,
Set彙al,2.700 ﾛ/m?,2024,,,,
Terceira (Ilha),1.335 ﾛ/m?,2024,,,,
Viana do Castelo,1.481 ﾛ/m?,2024,,,,
Vila Real,1.056 ﾛ/m?,2024,,,,
Viseu,1.147 ﾛ/m?,2024,,,,
Aveiro,1.668 ﾛ/m2,2023,,,,
Beja,1.054 ﾛ/m2,2023,,,,
Braga,1.501 ﾛ/m2,2023,,,,
Bragan溝,872 ﾛ/m2,2023,,,,
Castelo Branco,867 ﾛ/m2,2023,,,,
Coimbra,1.391 ﾛ/m2,2023,,,,
プora,1.322 ﾛ/m2,2023,,,,
Faial (Ilha),1.302 ﾛ/m2,2023,,,,
Faro,3.251 ﾛ/m2,2023,,,,
Guarda,704 ﾛ/m2,2023,,,,
Leiria,1.557 ﾛ/m2,2023,,,,
Lisboa,3.896 ﾛ/m2,2023,,,,
Madeira (Ilha),2.888 ﾛ/m2,2023,,,,
Pico (Ilha),1.362 ﾛ/m2,2023,,,,
Portalegre,721 ﾛ/m2,2023,,,,
Porto,2.516 ﾛ/m2,2023,,,,
Porto Santo (Ilha),2.254 ﾛ/m2,2023,,,,
Santa Maria (Ilha),1.404 ﾛ/m2,2023,,,,
Santar士,1.126 ﾛ/m2,2023,,,,
S黍 Jorge (Ilha),1.270 ﾛ/m2,2023,,,,
S黍 Miguel (ilha),1.636 ﾛ/m2,2023,,,,
Set彙al,2.444 ﾛ/m2,2023,,,,
Terceira (Ilha),1.153 ﾛ/m2,2023,,,,
Viana do Castelo,1.457 ﾛ/m2,2023,,,,
Vila Real,942 ﾛ/m2,2023,,,,
Viseu,1.066 ﾛ/m2,2023,,,,
Portugal,2.432 ﾛ/m2,2022,,,,
Aveiro,1.652 ﾛ/m2,2022,,,,
Beja,934 ﾛ/m2,2022,,,,
Braga,1.418 ﾛ/m2,2022,,,,
Bragan溝,868 ﾛ/m2,2022,,,,
Castelo Branco,714 ﾛ/m2,2022,,,,
Coimbra,1.295 ﾛ/m2,2022,,,,
プora,1.272 ﾛ/m2,2022,,,,
Faial (Ilha),1.192 ﾛ/m2,2022,,,,
Faro,3.027 ﾛ/m2,2022,,,,
Guarda,666 ﾛ/m2,2022,,,,
Leiria,1.412 ﾛ/m2,2022,,,,
Lisboa,3.782 ﾛ/m2,2022,,,,
Madeira (Ilha),2.389 ﾛ/m2,2022,,,,
Pico (Ilha),1.150 ﾛ/m2,2022,,,,
Portalegre,633 ﾛ/m2,2022,,,,
Porto,2.420 ﾛ/m2,2022,,,,
Porto Santo (Ilha),1.809 ﾛ/m2,2022,,,,
Santar士,999 ﾛ/m2,2022,,,,
S黍 Jorge (Ilha),1.016 ﾛ/m2,2022,,,,
S黍 Miguel (ilha),1.428 ﾛ/m2,2022,,,,
Set彙al,2.292 ﾛ/m2,2022,,,,
Terceira (Ilha),1.046 ﾛ/m2,2022,,,,
Viana do Castelo,1.205 ﾛ/m2,2022,,,,
Vila Real,979 ﾛ/m2,2022,,,,
Viseu,934 ﾛ/m2,2022,,,,
Aveiro,1.385 ﾛ/m2,2021,,,,
Beja,841 ﾛ/m2,2021,,,,
Braga,1.216 ﾛ/m2,2021,,,,
Bragan溝,779 ﾛ/m2,2021,,,,
Castelo Branco,723 ﾛ/m2,2021,,,,
Coimbra,1.200 ﾛ/m2,2021,,,,
プora,1.044 ﾛ/m2,2021,,,,
Faial (Ilha),887 ﾛ/m2,2021,,,,
Faro,2.579 ﾛ/m2,2021,,,,
Guarda,660 ﾛ/m2,2021,,,,
Leiria,1.246 ﾛ/m2,2021,,,,
Lisboa,3.689 ﾛ/m2,2021,,,,
Madeira (Ilha),1.915 ﾛ/m2,2021,,,,
Pico (Ilha),1.066 ﾛ/m2,2021,,,,
Portalegre,606 ﾛ/m2,2021,,,,
Porto,2.281 ﾛ/m2,2021,,,,
Porto Santo (Ilha),1.399 ﾛ/m2,2021,,,,
Santa Maria (Ilha),1.646 ﾛ/m2,2021,,,,
Santar士,840 ﾛ/m2,2021,,,,
S黍 Miguel (ilha),1.093 ﾛ/m2,2021,,,,
Set彙al,1.948 ﾛ/m2,2021,,,,
Terceira (Ilha),886 ﾛ/m2,2021,,,,
Viana do Castelo,1.075 ﾛ/m2,2021,,,,
Vila Real,901 ﾛ/m2,2021,,,,
Viseu,868 ﾛ/m2,2021,,,,
Aveiro,1.249 ﾛ/m2,2020,,,,
Beja,777 ﾛ/m2,2020,,,,
Braga,1.062 ﾛ/m2,2020,,,,
Bragan溝,765 ﾛ/m2,2020,,,,
Castelo Branco,693 ﾛ/m2,2020,,,,
Coimbra,1.196 ﾛ/m2,2020,,,,
プora,871 ﾛ/m2,2020,,,,
Faial (Ilha),832 ﾛ/m2,2020,,,,
Faro,2.347 ﾛ/m2,2020,,,,
Guarda,630 ﾛ/m2,2020,,,,
Leiria,1.143 ﾛ/m2,2020,,,,
