Districts,Price m²,Year,,,,
Aveiro,"9,6 €/m2",2024,,,,
Beja,"10,2 €/m2",2024,,,,
Braga,"9,5 €/m2",2024,,,,
Castelo Branco,"7,3 €/m2",2024,,,,
Coimbra,"10,4 €/m2",2024,,,,
Évora,"10,9 €/m2",2024,,,,
Faro,"14,3 €/m2",2024,,,,
Leiria,"9,6 €/m2",2024,,,,
Lisboa,"20,0 €/m2",2024,,,,
Madeira (Ilha),"15,2 €/m2",2024,,,,
Portalegre,"6,9 €/m2",2024,,,,
Porto,"15,7 €/m2",2024,,,,
Santarém,"8,2 €/m2",2024,,,,
São Miguel (ilha),"9,7 €/m2",2024,,,,
Setúbal,"13,4 €/m2",2024,,,,
Viana do Castelo,"8,4 €/m2",2024,,,,
Vila Real,"7,5 €/m2",2024,,,,
Viseu,"7,3 €/m2",2024,,,,
Aveiro,"9,3 €/m2",2023,,,,
Beja,"9,0 €/m2",2023,,,,
Braga,"8,5 €/m2",2023,,,,
Castelo Branco,"7,5 €/m2",2023,,,,
Coimbra,"9,8 €/m2",2023,,,,
Évora,"10,3 €/m2",2023,,,,
Faro,"13,2 €/m2",2023,,,,
Leiria,"9,3 €/m2",2023,,,,
Lisboa,"19,1 €/m2",2023,,,,
Madeira (Ilha),"13,5 €/m2",2023,,,,
Portalegre,"6,1 €/m2",2023,,,,
Porto,"15,1 €/m2",2023,,,,
Santarém,"7,3 €/m2",2023,,,,
São Miguel (ilha),"9,1 €/m2",2023,,,,
Setúbal,"12,5 €/m2",2023,,,,
Viana do Castelo,"8,1 €/m2",2023,,,,
Vila Real,"6,2 €/m2",2023,,,,
Viseu,"7,4 €/m2",2023,,,,
Aveiro,"8,1 €/m2",2022,,,,
Braga,"7,5 €/m2",2022,,,,
Castelo Branco,"6,3 €/m2",2022,,,,
Coimbra,"7,6 €/m2",2022,,,,
Évora,"9,3 €/m2",2022,,,,
Faro,"11,2 €/m2",2022,,,,
Leiria,"7,8 €/m2",2022,,,,
Lisboa,"16,3 €/m2",2022,,,,
Madeira (Ilha),"10,8 €/m2",2022,,,,
Portalegre,"4,5 €/m2",2022,,,,
Porto,"12,2 €/m2",2022,,,,
Santarém,"6,3 €/m2",2022,,,,
São Miguel (ilha),"8,0 €/m2",2022,,,,
Setúbal,"10,3 €/m2",2022,,,,
Viana do Castelo,"7,7 €/m2",2022,,,,
Vila Real,"6,8 €/m2",2022,,,,
Viseu,"5,6 €/m2",2022,,,,
Aveiro,"6,7 €/m2",2021,,,,
Braga,"6,3 €/m2",2021,,,,
Castelo Branco,"5,8 €/m2",2021,,,,
Coimbra,"7,0 €/m2",2021,,,,
Faro,"9,7 €/m2",2021,,,,
Leiria,"6,2 €/m2",2021,,,,
Lisboa,"12,7 €/m2",2021,,,,
Madeira (Ilha),"8,6 €/m2",2021,,,,
Porto,"9,8 €/m2",2021,,,,
