Districts,Price m²,Year,,,,
Aveiro,1.829 €/m²,2024,,,,
Beja,1.209 €/m²,2024,,,,
Braga,1.689 €/m²,2024,,,,
Bragança,917 €/m²,2024,,,,
Castelo Branco,908 €/m²,2024,,,,
Coimbra,1.524 €/m²,2024,,,,
Évora,1.446 €/m²,2024,,,,
Faial (Ilha),1.350 €/m²,2024,,,,
Faro,3.558 €/m²,2024,,,,
Guarda,732 €/m²,2024,,,,
Leiria,1.737 €/m²,2024,,,,
Lisboa,4.279 €/m²,2024,,,,
Madeira (Ilha),3.251 €/m²,2024,,,,
Pico (Ilha),1.476 €/m²,2024,,,,
Portalegre,811 €/m²,2024,,,,
Porto,2.916 €/m²,2024,,,,
Porto Santo (Ilha),2.615 €/m²,2024,,,,
Santa Maria (Ilha),1.399 €/m²,2024,,,,
Santarém,1.279 €/m²,2024,,,,
São Jorge (Ilha),1.226 €/m²,2024,,,,
São Miguel (ilha),1.925 €/m²,2024,,,,
Setúbal,2.700 €/m²,2024,,,,
Terceira (Ilha),1.335 €/m²,2024,,,,
Viana do Castelo,1.481 €/m²,2024,,,,
Vila Real,1.056 €/m²,2024,,,,
Viseu,1.147 €/m²,2024,,,,
Aveiro,1.668 €/m2,2023,,,,
Beja,1.054 €/m2,2023,,,,
Braga,1.501 €/m2,2023,,,,
Bragança,872 €/m2,2023,,,,
Castelo Branco,867 €/m2,2023,,,,
Coimbra,1.391 €/m2,2023,,,,
Évora,1.322 €/m2,2023,,,,
Faial (Ilha),1.302 €/m2,2023,,,,
Faro,3.251 €/m2,2023,,,,
Guarda,704 €/m2,2023,,,,
Leiria,1.557 €/m2,2023,,,,
Lisboa,3.896 €/m2,2023,,,,
Madeira (Ilha),2.888 €/m2,2023,,,,
Pico (Ilha),1.362 €/m2,2023,,,,
Portalegre,721 €/m2,2023,,,,
Porto,2.516 €/m2,2023,,,,
Porto Santo (Ilha),2.254 €/m2,2023,,,,
Santa Maria (Ilha),1.404 €/m2,2023,,,,
Santarém,1.126 €/m2,2023,,,,
São Jorge (Ilha),1.270 €/m2,2023,,,,
São Miguel (ilha),1.636 €/m2,2023,,,,
Setúbal,2.444 €/m2,2023,,,,
Terceira (Ilha),1.153 €/m2,2023,,,,
Viana do Castelo,1.457 €/m2,2023,,,,
Vila Real,942 €/m2,2023,,,,
Viseu,1.066 €/m2,2023,,,,
Portugal,2.432 €/m2,2022,,,,
Aveiro,1.652 €/m2,2022,,,,
Beja,934 €/m2,2022,,,,
Braga,1.418 €/m2,2022,,,,
Bragança,868 €/m2,2022,,,,
Castelo Branco,714 €/m2,2022,,,,
Coimbra,1.295 €/m2,2022,,,,
Évora,1.272 €/m2,2022,,,,
Faial (Ilha),1.192 €/m2,2022,,,,
Faro,3.027 €/m2,2022,,,,
Guarda,666 €/m2,2022,,,,
Leiria,1.412 €/m2,2022,,,,
Lisboa,3.782 €/m2,2022,,,,
Madeira (Ilha),2.389 €/m2,2022,,,,
Pico (Ilha),1.150 €/m2,2022,,,,
Portalegre,633 €/m2,2022,,,,
Porto,2.420 €/m2,2022,,,,
Porto Santo (Ilha),1.809 €/m2,2022,,,,
Santarém,999 €/m2,2022,,,,
São Jorge (Ilha),1.016 €/m2,2022,,,,
São Miguel (ilha),1.428 €/m2,2022,,,,
Setúbal,2.292 €/m2,2022,,,,
Terceira (Ilha),1.046 €/m2,2022,,,,
Viana do Castelo,1.205 €/m2,2022,,,,
Vila Real,979 €/m2,2022,,,,
Viseu,934 €/m2,2022,,,,
Aveiro,1.385 €/m2,2021,,,,
Beja,841 €/m2,2021,,,,
Braga,1.216 €/m2,2021,,,,
Bragança,779 €/m2,2021,,,,
Castelo Branco,723 €/m2,2021,,,,
Coimbra,1.200 €/m2,2021,,,,
Évora,1.044 €/m2,2021,,,,
Faial (Ilha),887 €/m2,2021,,,,
Faro,2.579 €/m2,2021,,,,
Guarda,660 €/m2,2021,,,,
Leiria,1.246 €/m2,2021,,,,
Lisboa,3.689 €/m2,2021,,,,
Madeira (Ilha),1.915 €/m2,2021,,,,
Pico (Ilha),1.066 €/m2,2021,,,,
Portalegre,606 €/m2,2021,,,,
Porto,2.281 €/m2,2021,,,,
Porto Santo (Ilha),1.399 €/m2,2021,,,,
Santa Maria (Ilha),1.646 €/m2,2021,,,,
Santarém,840 €/m2,2021,,,,
São Miguel (ilha),1.093 €/m2,2021,,,,
Setúbal,1.948 €/m2,2021,,,,
Terceira (Ilha),886 €/m2,2021,,,,
Viana do Castelo,1.075 €/m2,2021,,,,
