Districts,Price m?,Year,,,,
Aveiro,"9,6 ﾛ/m2",2024,,,,
Beja,"10,2 ﾛ/m2",2024,,,,
Braga,"9,5 ﾛ/m2",2024,,,,
Castelo Branco,"7,3 ﾛ/m2",2024,,,,
Coimbra,"10,4 ﾛ/m2",2024,,,,
プora,"10,9 ﾛ/m2",2024,,,,
Faro,"14,3 ﾛ/m2",2024,,,,
Leiria,"9,6 ﾛ/m2",2024,,,,
Lisboa,"20,0 ﾛ/m2",2024,,,,
Madeira (Ilha),"15,2 ﾛ/m2",2024,,,,
Portalegre,"6,9 ﾛ/m2",2024,,,,
Porto,"15,7 ﾛ/m2",2024,,,,
Santar士,"8,2 ﾛ/m2",2024,,,,
S黍 Miguel (ilha),"9,7 ﾛ/m2",2024,,,,
Set彙al,"13,4 ﾛ/m2",2024,,,,
Viana do Castelo,"8,4 ﾛ/m2",2024,,,,
Vila Real,"7,5 ﾛ/m2",2024,,,,
Viseu,"7,3 ﾛ/m2",2024,,,,
Aveiro,"9,3 ﾛ/m2",2023,,,,
Beja,"9,0 ﾛ/m2",2023,,,,
Braga,"8,5 ﾛ/m2",2023,,,,
Castelo Branco,"7,5 ﾛ/m2",2023,,,,
Coimbra,"9,8 ﾛ/m2",2023,,,,
プora,"10,3 ﾛ/m2",2023,,,,
Faro,"13,2 ﾛ/m2",2023,,,,
Leiria,"9,3 ﾛ/m2",2023,,,,
Lisboa,"19,1 ﾛ/m2",2023,,,,
Madeira (Ilha),"13,5 ﾛ/m2",2023,,,,
Portalegre,"6,1 ﾛ/m2",2023,,,,
Porto,"15,1 ﾛ/m2",2023,,,,
Santar士,"7,3 ﾛ/m2",2023,,,,
S黍 Miguel (ilha),"9,1 ﾛ/m2",2023,,,,
Set彙al,"12,5 ﾛ/m2",2023,,,,
Viana do Castelo,"8,1 ﾛ/m2",2023,,,,
Vila Real,"6,2 ﾛ/m2",2023,,,,
Viseu,"7,4 ﾛ/m2",2023,,,,
Aveiro,"8,1 ﾛ/m2",2022,,,,
Braga,"7,5 ﾛ/m2",2022,,,,
Castelo Branco,"6,3 ﾛ/m2",2022,,,,
Coimbra,"7,6 ﾛ/m2",2022,,,,
プora,"9,3 ﾛ/m2",2022,,,,
Faro,"11,2 ﾛ/m2",2022,,,,
Leiria,"7,8 ﾛ/m2",2022,,,,
Lisboa,"16,3 ﾛ/m2",2022,,,,
Madeira (Ilha),"10,8 ﾛ/m2",2022,,,,
Portalegre,"4,5 ﾛ/m2",2022,,,,
Porto,"12,2 ﾛ/m2",2022,,,,
Santar士,"6,3 ﾛ/m2",2022,,,,
S黍 Miguel (ilha),"8,0 ﾛ/m2",2022,,,,
Set彙al,"10,3 ﾛ/m2",2022,,,,
Viana do Castelo,"7,7 ﾛ/m2",2022,,,,
Vila Real,"6,8 ﾛ/m2",2022,,,,
Viseu,"5,6 ﾛ/m2",2022,,,,
Aveiro,"6,7 ﾛ/m2",2021,,,,
Braga,"6,3 ﾛ/m2",2021,,,,
Castelo Branco,"5,8 ﾛ/m2",2021,,,,
Coimbra,"7,0 ﾛ/m2",2021,,,,
Faro,"9,7 ﾛ/m2",2021,,,,
Leiria,"6,2 ﾛ/m2",2021,,,,
Lisboa,"12,7 ﾛ/m2",2021,,,,
Madeira (Ilha),"8,6 ﾛ/m2",2021,,,,
Porto,"9,8 ﾛ/m2",2021,,,,
Santar士,"5,0 ﾛ/m2",2021,,,,
S黍 Miguel (ilha),"6,7 ﾛ/m2",2021,,,,
Set彙al,"8,8 ﾛ/m2",2021,,,,
Viana do Castelo,"6,0 ﾛ/m2",2021,,,,
Vila Real,"4,6 ﾛ/m2",2021,,,,
Viseu,"4,7 ﾛ/m2",2021,,,,
Portugal,"11,1 ﾛ/m2",2020,,,,
Aveiro,"6,9 ﾛ/m2",2020,,,,
Braga,"6,1 ﾛ/m2",2020,,,,
Castelo Branco,"4,9 ﾛ/m2",2020,,,,
Coimbra,"6,6 ﾛ/m2",2020,,,,
プora,"7,1 ﾛ/m2",2020,,,,
Faro,"9,1 ﾛ/m2",2020,,,,
Leiria,"5,6 ﾛ/m2",2020,,,,
Lisboa,"13,1 ﾛ/m2",2020,,,,
Madeira (Ilha),"7,9 ﾛ/m2",2020,,,,
Porto,"9,8 ﾛ/m2",2020,,,,
Santar士,"4,9 ﾛ/m2",2020,,,,
S黍 Miguel (ilha),"7,5 ﾛ/m2",2020,,,,
Set彙al,"8,4 ﾛ/m2",2020,,,,
Viana do Castelo,"5,1 ﾛ/m2",2020,,,,
Viseu,"5,0 ﾛ/m2",2020,,,,
Aveiro,"6,3 ﾛ/m2",2019,,,,
Braga,"6,2 ﾛ/m2",2019,,,,
Castelo Branco,"5,1 ﾛ/m2",2019,,,,
Coimbra,"6,0 ﾛ/m2",2019,,,,
Faro,"9,1 ﾛ/m2",2019,,,,
Leiria,"5,6 ﾛ/m2",2019,,,,
Lisboa,"13,9 ﾛ/m2",2019,,,,
Madeira (Ilha),"7,8 ﾛ/m2",2019,,,,
Porto,"9,9 ﾛ/m2",2019,,,,
Santar士,"4,5 ﾛ/m2",2019,,,,
S黍 Miguel (ilha),"6,8 ﾛ/m2",2019,,,,
Set彙al,"8,2 ﾛ/m2",2019,,,,
Viana do Castelo,"5,3 ﾛ/m2",2019,,,,
Viseu,"5,3 ﾛ/m2",2019,,,,
Aveiro,"5,0 ﾛ/m2",2018,,,,
Braga,"5,3 ﾛ/m2",2018,,,,
Castelo Branco,"3,7 ﾛ/m2",2018,,,,
Coimbra,"5,6 ﾛ/m2",2018,,,,
Faro,"8,3 ﾛ/m2",2018,,,,
Leiria,"4,8 ﾛ/m2",2018,,,,
Lisboa,"14,1 ﾛ/m2",2018,,,,
Madeira (Ilha),"7,9 ﾛ/m2",2018,,,,
Porto,"8,9 ﾛ/m2",2018,,,,
Santar士,"4,1 ﾛ/m2",2018,,,,
Set彙al,"7,8 ﾛ/m2",2018,,,,
Viana do Castelo,"4,9 ﾛ/m2",2018,,,,
Viseu,"3,8 ﾛ/m2",2018,,,,
Aveiro,"4,4 ﾛ/m2",2017,,,,
Braga,"4,5 ﾛ/m2",2017,,,,
Castelo Branco,"3,6 ﾛ/m2",2017,,,,
Coimbra,"5,2 ﾛ/m2",2017,,,,
プora,"5,3 ﾛ/m2",2017,,,,
Faro,"7,4 ﾛ/m2",2017,,,,
Leiria,"4,3 ﾛ/m2",2017,,,,
Lisboa,"12,2 ﾛ/m2",2017,,,,
Madeira (Ilha),"6,9 ﾛ/m2",2017,,,,
Portalegre,"4,0 ﾛ/m2",2017,,,,
Porto,"7,5 ﾛ/m2",2017,,,,
Santar士,"3,7 ﾛ/m2",2017,,,,
Set彙al,"6,2 ﾛ/m2",2017,,,,
Viana do Castelo,"3,8 ﾛ/m2",2017,,,,
Vila Real,"3,5 ﾛ/m2",2017,,,,
Viseu,"3,5 ﾛ/m2",2017,,,,
Aveiro,"4,0 ﾛ/m2",2016,,,,
Beja,"4,3 ﾛ/m2",2016,,,,
Braga,"4,3 ﾛ/m2",2016,,,,
Castelo Branco,"3,8 ﾛ/m2",2016,,,,
Coimbra,"5,3 ﾛ/m2",2016,,,,
プora,"4,8 ﾛ/m2",2016,,,,
Faro,"6,0 ﾛ/m2",2016,,,,
Guarda,"2,7 ﾛ/m2",2016,,,,
Leiria,"4,0 ﾛ/m2",2016,,,,
Lisboa,"11,0 ﾛ/m2",2016,,,,
Madeira (Ilha),"5,8 ﾛ/m2",2016,,,,
Portalegre,"3,4 ﾛ/m2",2016,,,,
Porto,"8,1 ﾛ/m2",2016,,,,
Santar士,"3,5 ﾛ/m2",2016,,,,
